Date,Open,Price,High,Low,Close,Volume,cpi
7/2/2019,75.45,84.49,75.91,73.27,75.18,471789.99,5.639664
6/27/2019,73.73,84.49,75.36,73.27,74.82,430440.99,5.490134
6/26/2019,72.18,84.25,73.91,71.64,73.64,412262.39,5.490134
6/25/2019,72,84.25,72.64,71.55,72.18,366593.69,5.490134
6/24/2019,71.36,84.25,72.64,71.27,71.91,276966.79,5.490134
6/20/2019,70.91,84.25,72.45,70.82,71.09,410521.09,5.490134
6/19/2019,70.91,84.25,71.82,70.82,71,245079.99,5.490134
6/18/2019,71,84.25,71.64,70.45,70.73,450889.99,5.490134
6/17/2019,72.36,84.25,73,70.82,71.09,484074.79,5.490134
6/13/2019,73.64,84.25,73.64,72.73,73.18,345366.99,5.490134
6/12/2019,74.09,84.25,74.55,72.82,73.55,292262.29,5.490134
6/11/2019,73.18,84.25,74.18,73.18,74,443308.79,5.490134
6/10/2019,72.73,84.25,73.64,72,73.45,308652.29,5.490134
5/30/2019,71.36,84.25,71.45,70.73,71,307541.29,5.621077
5/29/2019,70.91,84.25,71.36,70.73,70.91,907615.47,5.621077
5/28/2019,70.18,84.49,71.36,70.18,70.91,730079.88,5.621077
5/27/2019,70.73,84.25,71.27,70.09,70.73,349412.79,5.621077
5/23/2019,70.45,84.49,70.82,70.18,70.55,95224.8,5.621077
5/22/2019,70.64,84.49,70.64,69.82,70.36,328582.09,5.621077
5/21/2019,70.27,84.49,70.91,69.73,70.27,106554.8,5.621077
5/20/2019,71,84.49,71,69.73,69.91,191016.09,5.621077
5/16/2019,71.09,84.49,71.09,69.91,70.45,126701.3,5.621077
5/15/2019,71.27,84.25,71.64,70.55,70.73,150507.5,5.621077
5/14/2019,72.55,84.25,72.55,71,71.36,166133,5.621077
5/13/2019,72.55,84.25,73.09,72.36,72.64,64504,5.621077
5/9/2019,73.55,84.25,74.09,72.36,72.64,427827.39,5.621077
5/8/2019,73.18,84.25,73.64,72.64,72.73,626859.18,5.621077
5/7/2019,74.73,84.25,74.73,73.09,73.18,125281.2,5.621077
5/6/2019,76.27,84.25,76.27,74.09,74.36,191788.29,5.621077
5/2/2019,73.64,84.25,74.91,73.64,74.55,751869.78,5.621077
4/30/2019,72.73,84.25,74.55,72.73,73.45,1133810.67,5.579434
4/29/2019,73.45,84.25,73.45,71.36,72.55,201409.99,5.579434
4/25/2019,73.45,84.25,73.45,70.55,71,202082.09,5.579434
4/24/2019,72.82,84.25,73.64,72.27,73.45,42280.7,5.579434
4/23/2019,74,84.25,75.18,72.73,73.09,57643.3,5.579434
4/18/2019,75,84.25,75.91,74.64,75.64,192244.79,5.579434
4/17/2019,73.18,84.17,75.64,72.36,74.82,80836.8,5.579434
4/16/2019,75.45,84.17,75.45,71.82,73.91,287904.09,5.579434
4/15/2019,75.45,84.24,75.73,74.82,75.18,26925.8,5.579434
4/11/2019,76.27,84.25,76.36,75.27,75.73,105912.4,5.579434
4/10/2019,76,84.24,76,75.45,75.55,204223.79,5.579434
4/9/2019,75.73,84.25,76.55,75.55,76.18,52488.7,5.579434
4/8/2019,75.45,84.25,77,75.18,75.64,132063.8,5.579434
4/4/2019,76.64,84.41,77.91,76.64,77.18,93357,5.579434
4/3/2019,77.73,84.41,77.73,76.36,76.91,125638.7,5.579434
4/2/2019,76.82,84.42,78.18,76.36,77.73,52894.6,5.579434
4/1/2019,76.36,84.49,77.73,76.27,76.45,160964.1,5.579434
3/28/2019,77.64,84.42,77.73,77.55,77.64,22882.2,5.591641
3/27/2019,77.73,84.41,78.18,77.27,77.64,38450.5,5.591641
3/25/2019,77.09,84.42,79.09,77.09,78.45,236891.59,5.591641
3/21/2019,78.45,84.49,78.91,78.18,78.36,79867.7,5.591641
